norm_id;stofnaam;casnummer;aquocode;categorie;compartiment;norm;waarde;eenheid;compartimentcode;compartimentomschrijving;grootheidcode;grootheidomschrijving;hoedanigheidcode;hoedanigheidomschrijving;waardebewerkingsmethodecode;waardebewerkingsmethodeomschrijving
9696;benzylideenchloride;98-87-3;aaDClTol;Milieu;Oppervlaktewater zoet;Landoppervlaktewateren wettelijk JG-MKN (totaal);0,0034;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;JGM;Jaargemiddelde
9697;benzylideenchloride;98-87-3;aaDClTol;Milieu;Oppervlaktewater zoet;Landoppervlaktewateren JG-MKN (opgelost);0,0034;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;nf;na filtratie (opgeloste fractie);JGM;Jaargemiddelde
9698;benzylideenchloride;98-87-3;aaDClTol;Milieu;Oppervlaktewater zout;Andere oppervlaktewateren JG-MKN (opgelost);0,0034;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;nf;na filtratie (opgeloste fractie);JGM;Jaargemiddelde
9702;2-naftylamine (ZZS);91-59-8;2AoNaf;Milieu;Oppervlaktewater zoet;Landoppervlaktewateren Indicatief MTR (opgelost);9,90E-01;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;nf;na filtratie (opgeloste fractie);P90;90-Percentiel
9756;chloorfenolen;;;Milieu;Oppervlaktewater voor drinkwaterbereiding;Oppervlaktewater voor drinkwaterbereiding (gericht tot het drinkwaterbedrijf) - Signaleringsparameter;1;µg/l;;;;;;;;
9757;chloornitrotoluenen;;;Milieu;Oppervlaktewater zoet;Landoppervlaktewateren MTR (opgelost);16;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;nf;na filtratie (opgeloste fractie);P90;90-Percentiel
9770;chloortoluidines;;;Milieu;Oppervlaktewater zoet;Landoppervlaktewateren MTR (opgelost);6,2;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;nf;na filtratie (opgeloste fractie);P90;90-Percentiel
9787;cresolen;1319-77-3;;Milieu;Grondwater;Signaleringsparameter  beoordeling grondwatersanering (opgelost);200;µg/l;GW;Grondwater;CONCTTE;(massa)Concentratie;nf;na filtratie;Nee;
9789;cresolen;1319-77-3;;Milieu;Grondwater;Standaardwaarden grondwater (inclusief AC) (opgelost);0,2;µg/l;GW;Grondwater;CONCTTE;(massa)Concentratie;nf;na filtratie;Nee;
9997;isopropenylbenzeen;98-83-9;aC1ysrn;Milieu;Oppervlaktewater zoet;Landoppervlaktewateren MTR (opgelost);4,2;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;nf;na filtratie (opgeloste fractie);P90;90-Percentiel
10013;loodverbindingen (ZZS);;;Milieu;Oppervlaktewater zoet;Landoppervlaktewateren wettelijk JG-MKN (opgelost);1,2;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;nf;na filtratie (opgeloste fractie);JGM;Jaargemiddelde
10014;loodverbindingen (ZZS);;;Milieu;Oppervlaktewater zoet;Landoppervlaktewateren wettelijk MAC-MKN (opgelost);14;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;nf;na filtratie (opgeloste fractie);MAX;Maximum
10015;loodverbindingen (ZZS);;;Milieu;Oppervlaktewater zout;Andere oppervlaktewateren wettelijk JG-MKN (opgelost);1,3;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;nf;na filtratie (opgeloste fractie);JGM;Jaargemiddelde
